slug,name,academy_class,year_start,last_updated,website,birth_info
carmen-schaub,Carmen Schaub,Prangenberg,2008,2013-09-19,http://vimeo.com/74406220,
andreas-horsky,Andreas Horsky,Oehlen,2007,2013-08-28,http://andreashorsky.wordpress.com/,
linda-sollacher,Linda Sollacher,Brack,2010,2013-08-23,http://www.etracker.com,
christian-heck,Christian Heck,Pitz,2008,2013-08-18,http://noparts.org/,
sebastian-dominic-auer,Sebastian Dominic Auer,Brack,2010,2013-07-25,http://vimeo.com/66631363,
sarah-zagefka,Sarah Zagefka,Kneffel,2009,2013-07-15,http://www.zagefka.de,
florence-buehr,Florence Bühr,Klaus vom Bruch,2000,2013-07-14,http://www.turnturnturn.tv,
constantin-von-canal,Constantin von Canal,Ingold,2010,2013-07-12,http://www.etracker.com,
simone-kessler,Simone Kessler,Huber,2007,2013-07-04,http://www.simonekessler.de,
denitsa-petrova,Denitsa Petrova,Kasseböhmer,2006,2013-06-23,http://www.denitsapetrova.com,
judith-hagen,Judith Hagen,Prangenberg,2007,2013-06-23,http://www.judith-hagen.de,
anja-muench,Anja Münch,Bruch,2007,2013-06-09,http://www.anjamuench.de/,
nikola-johannsen,Nikola Johannsen,Weizsäcker,2007,2013-05-13,http://www.etracker.com,
michele-melillo,Michele Melillo,Kasseböhmer,2001,2013-05-06,http://www.nicolegnesa.de/k/melillo/works.html,
raphael-grotthuss,Raphael Grotthuss,Pitz,2010,2013-05-03,http://www.etracker.com,
emsor-escapo,Emsor Escapo,Kneffel,2009,2013-03-24,http://www.emsorescapo.de/,
ulrich-pfannschmidt,Ulrich Pfannschmidt,Förg,2005,2013-03-14,http://www.etracker.com,
laura-dietz,Laura Dietz,Kogler,2008,2013-02-18,http://www.grossekunstausstellungmuenchen.de/gka2011/seiten/kuenstler_einz/dietz-l.html,
martha-marie-pinsker,Martha-Marie Pinsker,Brack,2011,2013-02-14,http://www.etracker.com,
mario-misura,Mario Misura,Rehm,2012,2013-02-12,http://www.etracker.com,
johannes-koch,Johannes Koch,Zeniuk,2005,2013-02-05,http://goaheadyoungman.wordpress.com/,
oliver-winheim,Oliver Winheim,Dillemuth,2002,2013-02-03,http://www.oliverwinheim.de/,
katrin-agnes-klar,Katrin Agnes Klar,Kogler,2010,2013-01-24,http://www.katrinagnes.com,
david-blitz,David Blitz,Bruch,2002,2013-01-14,http://www.davidblitz.org,
tim-freiwald,Tim Freiwald,Zeniuk,2007,2013-01-09,http://www.timfreiwald.com,
caro-jost,Caro Jost,Bustamante,2012,2013-01-06,http://www.etracker.com,
mitja-spaninger,Mitja Spaninger,Jetelova,2009,2013-01-05,http://vimeo.com/10953084,
max-schmoelz,Max Schmölz,Wähner,2007,2012-12-21,http://maxschmoelz.wordpress.com/,
petra-gregorovic,Petra Gregorovic,K.v.Bruch,1998,2012-12-12,http://www.etracker.com,
frank-balve,Frank Balve,Prangenberg,2010,2012-12-11,http://www.frankbalve.de,
anna-schoelss,Anna Schölß,Kogler,2004,2012-12-11,http://annaschoelss.de/,
felix-leon-westner,Felix Leon Westner,Nicolai,2008,2012-11-14,http://www.etracker.com,
conny-kestel,Conny Kestel,Innenarchitektur,2003,2012-11-13,http://www.etracker.com,
hanna-franzika-staudenmaier,Hanna Franzika Staudenmaier,FÃ¶rg,2003,2012-11-09,http://www.youtube.com/watch?v=AOEfRGN_Eas,
elisabeth-wieser,Elisabeth Wieser,Oehlen,2006,2012-11-01,http://www.etracker.com,
janna-pinsker,"Zuletzt aktualisierte Einträge, adbk München 12:17 MEZ",Baumschlager,,"",http://www.etracker.com,
philipp-brosche,Philipp Brosche,Wähner,2010,2012-10-29,http://www.etracker.com,
clea-stracke,Clea Stracke,Toffolutti,2001,2012-09-28,http://www.etracker.com,
evelyn-hribersek,Evelyn Hribersek,Toffolutti,2004,2012-09-19,http://www.orpheus2012.com,
benjamin-hugl,Benjamin Hugl,Hien,2009,2012-09-18,http://www.etracker.com,
mike-herbig,Mike Herbig,Jetelova,2008,2012-08-30,http://www.etracker.com,
josef-jaud,Josef Jaud,Herrmann Pitz,2001,2012-08-10,http://www.josefjaud.de,
daniel-permanetter,Daniel Permanetter,Huber,2000,2012-08-03,http://www.danielpermanetter.info,
nicola-hanke,Nicola Hanke,Kneffel,1998,2012-07-26,http://www.etracker.com,
bernadett-gera,Bernadett Gera,Rehm,2009,2012-07-20,http://www.etracker.com,
daisuke-ogura,Daisuke Ogura,Prangenberg,2003,2012-07-15,http://www.daisuke-ogura.de,
moritz-dometshauser,Moritz Dometshauser,Matthias Wähner,2006,2012-07-14,http://www.moritzdometshauser.de/,
jihwan-park,Jihwan Park,Rehm,2010,2012-07-02,http://www.etracker.com,
melinda-kiefer,Melinda Kiefer,Dillemuth,2002,2012-06-28,http://www.melindakiefer.de,
anna-isabell-gross,Anna Isabell Groß,Huber,2006,2012-06-11,http://www.etracker.com,
jeanine-long,Jeanine Long,Kasseböhmer,2007,2012-05-30,http://www.etracker.com,
jorge-castellanos,Jorge Castellanos,Oehlen,2008,2012-04-29,http://jorgecastellanos.tk/,
denis-stepanovic,Denis Stepanovic,Oehlen,2004,2012-04-28,http://www.stepanovic.com,
annemarie-roesch,"Zuletzt aktualisierte Einträge, adbk München 12:18 MEZ",Baumschlager,,"",http://www.etracker.com,
bea-herpich,Bea Herpich,Doberauer,2007,2012-04-15,http://www.etracker.com,
fabian-fratzscher,Fabian Fratzscher,Metzel,2011,2012-03-31,http://www.etracker.com,
aiko-okamoto,Aiko Okamoto,Bruch,2008,2012-02-20,http://mo.bubunation.de,
gordon-hogan,Gordon Hogan,Huber,1999,2012-02-01,http://www.gordonhogan.com,
verena-frensch,Verena Frensch,Lang,2005,2012-02-01,http://www.etracker.com,
masahiko-kato,Masahiko Kato,Doberauer,2009,2012-01-22,http://www.behance.net/masahikokato,
martin-mayer,Martin Mayer,Ingold,2003,2012-01-22,http://vimeo.com/16118163,
anna-krammig,Anna Krammig,Kneffel,2008,2011-12-27,http://www.annakrammig.com/index.php?id=71,
mariana-renthel,Mariana Renthel,Kasseböhmer,2007,2011-12-08,http://soundcloud.com/tustu/este1,
susanne-dirschowski,Susanne Dirschowski,Pitz,2004,2011-12-06,http://www.etracker.com,
dimen-stantchev,Dimen Stantchev,Kasseböhmer,2001,2011-11-05,http://www.etracker.com,
guo-qi,Guo Qi,Scully,2004,2011-10-24,http://www.etracker.com,
benjamin-planitzer,Benjamin Planitzer,Gerhart,2006,2011-10-20,http://www.benjamin-planitzer.de,
ellen-strasser,Ellen Strasser,Reipka,1989,2011-10-06,http://www.etracker.com,
denise-flamme,Denise Flamme,Pitz,2008,2011-10-02,http://boundmorpheme.blogspot.com/,
natalie-wild,Natalie Wild,Jetelova,2009,2011-09-13,http://youtu.be/VbvB4aMEEx4,
michael-gerngross,Michael Gerngroß,Zeniuk,,"",http://www.michaelgerngross.de,
